order_id,customer_id,product_id,order_date,quantity,unit_price,order_status,revenue
O00001,C384,P002,2026-03-21,1,2814.37,Completed,2814.37
O00002,C122,P021,2026-03-25,4,3572.03,Pending,14288.12
O00003,C091,P018,2026-07-31,2,2068.89,Completed,4137.78
O00004,C013,P039,2026-04-02,2,610.99,Completed,1221.98
O00005,C378,P015,2026-06-20,2,639.35,Completed,1278.7
O00006,C211,P018,2026-05-08,3,2068.89,Completed,6206.67
O00007,C137,P031,2026-03-23,2,1648.21,Completed,3296.42
O00008,C360,P035,2026-02-25,1,6423.94,Completed,6423.94
O00009,C196,P009,2026-01-20,1,2813.88,Completed,2813.88
O00010,C241,P027,2026-04-24,1,2263.36,Completed,2263.36
O00011,C103,P010,2026-08-24,2,1739.65,Completed,3479.3
O00012,C180,P020,2026-06-06,4,1820.46,Completed,7281.84
O00013,C117,P011,2026-04-25,2,918.48,Completed,1836.96
O00014,C013,P033,2026-04-09,1,2896.4,Completed,2896.4
O00015,C205,P004,2026-06-18,1,5723.82,Completed,5723.82
O00016,C143,P029,2026-02-05,1,1836.7,Completed,1836.7
O00017,C396,P019,2026-05-23,1,849.29,Completed,849.29
O00018,C180,P029,2026-09-18,2,1836.7,Completed,3673.4
O00019,C205,P027,2026-06-19,2,2263.36,Completed,4526.72
O00020,C015,P017,2026-03-01,1,6203.54,Pending,6203.54
O00021,C134,P016,2026-04-02,2,1011.57,Completed,2023.14
O00022,C298,P015,2026-05-16,1,639.35,Completed,639.35
O00023,C020,P017,2026-02-25,1,6203.54,Completed,6203.54
O00024,C306,P009,2026-08-11,1,2813.88,Completed,2813.88
O00025,C177,P012,2026-06-10,2,2085.26,Completed,4170.52
O00026,C224,P010,2026-09-19,3,1739.65,Completed,5218.95
O00027,C060,P009,2026-07-17,2,2813.88,Cancelled,5627.76
O00028,C296,P013,2026-04-08,1,4011.81,Completed,4011.81
O00029,C131,P003,2026-01-23,1,1604.77,Completed,1604.77
O00030,C363,P027,2026-08-12,1,2263.36,Completed,2263.36
O00031,C001,P004,2026-09-24,2,5723.82,Completed,11447.64
O00032,C276,P034,2026-04-11,1,5352.74,Completed,5352.74
O00033,C187,P027,2026-08-09,3,2263.36,Completed,6790.08
O00034,C036,P018,2026-06-19,1,2068.89,Completed,2068.89
O00035,C320,P038,2026-06-10,1,3361.83,Completed,3361.83
O00036,C340,P036,2026-03-05,1,1134.61,Completed,1134.61
O00037,C369,P029,2026-06-03,1,1836.7,Completed,1836.7
O00038,C260,P010,2026-06-08,1,1739.65,Completed,1739.65
O00039,C342,P037,2026-07-29,1,5429.68,Completed,5429.68
O00040,C168,P016,2026-07-26,3,1011.57,Completed,3034.71
O00041,C357,P020,2026-06-01,1,1820.46,Completed,1820.46
O00042,C284,P035,2026-03-07,1,6423.94,Completed,6423.94
O00043,C099,P022,2026-08-04,1,5974.06,Cancelled,5974.06
