product_id,product,category,unit_price
P001,Coffee Maker,Home & Kitchen,4773.29
P002,Football,Sports,2814.37
P003,Headphones,Electronics,1604.77
P004,Power Bank,Electronics,5723.82
P005,Backpack,Fashion,2624.22
P006,Bluetooth Speaker,Electronics,6325.48
P007,Skipping Rope,Sports,1191.82
P008,Webcam,Electronics,1763.75
P009,Coffee Maker,Home & Kitchen,2813.88
P010,Air Fryer,Home & Kitchen,1739.65
P011,T-Shirt,Fashion,918.48
P012,Cookware Set,Home & Kitchen,2085.26
P013,Desk Lamp,Home & Kitchen,4011.81
P014,Bluetooth Speaker,Electronics,3682.56
P015,Sneakers,Fashion,639.35
P016,Sports Jacket,Fashion,1011.57
P017,Wireless Mouse,Electronics,6203.54
P018,Moisturizer,Beauty,2068.89
P019,Water Bottle,Home & Kitchen,849.29
P020,Jeans,Fashion,1820.46
P021,Smart Watch,Electronics,3572.03
P022,Bluetooth Speaker,Electronics,5974.06
P023,Mixer Grinder,Home & Kitchen,3447.6
P024,Lunch Box,Home & Kitchen,2792.31
P025,Running Shoes,Fashion,1054.56
P026,Moisturizer,Beauty,1994.05
P027,Shampoo,Beauty,2263.36
P028,Jeans,Fashion,3265.62
P029,Smart Watch,Electronics,1836.7
P030,Bluetooth Speaker,Electronics,2586.92
P031,Mixer Grinder,Home & Kitchen,1648.21
P032,Gym Gloves,Sports,1798.36
P033,Coffee Maker,Home & Kitchen,2896.4
P034,Keyboard,Electronics,5352.74
P035,Headphones,Electronics,6423.94
P036,Dumbbells,Sports,1134.61
P037,Smart Watch,Electronics,5429.68
P038,Resistance Bands,Sports,3361.83
P039,Skipping Rope,Sports,610.99
P040,Lunch Box,Home & Kitchen,933.0
